time,wx,wy,wz
1.079,0.80,-0.94,0.84
1.082,0.86,-0.99,0.87
1.086,0.92,-1.02,0.90
1.086,0.98,-1.02,0.92
1.089,1.03,-1.01,0.95
1.091,1.08,-0.99,0.97
1.094,1.11,-0.96,0.99
1.096,1.14,-0.91,1.01
1.099,1.16,-0.86,1.02
1.101,1.17,-0.81,1.02
1.107,1.18,-0.77,1.02
1.108,1.17,-0.72,1.02
1.111,1.16,-0.67,1.02
1.112,1.15,-0.61,1.02
1.118,1.13,-0.57,1.05
1.118,1.12,-0.53,1.09
1.119,1.11,-0.46,1.14
1.122,1.10,-0.38,1.18
1.125,1.09,-0.29,1.21
1.127,1.07,-0.18,1.23
1.129,1.05,-0.09,1.23
1.132,1.01,0.01,1.22
1.135,0.97,0.09,1.20
1.137,0.92,0.16,1.17
1.139,0.87,0.22,1.15
1.142,0.82,0.27,1.12
1.144,0.79,0.32,1.10
1.147,0.76,0.36,1.09
1.149,0.74,0.40,1.09
1.156,0.73,0.44,1.10
1.156,0.73,0.47,1.12
1.157,0.73,0.49,1.15
1.159,0.74,0.51,1.20
1.161,0.74,0.52,1.25
1.164,0.75,0.54,1.30
1.170,0.75,0.55,1.37
1.170,0.78,0.61,1.48
1.172,0.81,0.65,1.61
1.174,0.85,0.77,1.71
1.176,0.88,0.89,1.80
1.179,0.89,0.97,1.89
1.181,0.87,1.03,1.97
1.184,0.84,1.05,2.05
1.186,0.79,1.06,2.11
1.189,0.74,1.04,2.18
1.192,0.68,1.01,2.25
1.194,0.63,0.96,2.31
1.196,0.59,0.92,2.34
1.199,0.54,0.88,2.36
1.202,0.49,0.77,2.36
1.205,0.44,0.65,2.36
1.207,0.39,0.49,2.35
1.209,0.33,0.31,2.34
1.211,0.29,0.16,2.36
1.214,0.26,0.03,2.38
1.217,0.24,-0.08,2.42
1.219,0.23,-0.16,2.48
1.222,0.23,-0.20,2.55
1.224,0.24,-0.20,2.61
1.226,0.26,-0.18,2.68
1.229,0.29,-0.14,2.73
1.231,0.31,-0.11,2.78
1.235,0.34,-0.09,2.82
1.237,0.37,-0.08,2.85
1.240,0.40,-0.10,2.86
1.242,0.43,-0.14,2.86
1.245,0.45,-0.20,2.85
1.246,0.48,-0.29,2.83
1.249,0.50,-0.41,2.78
1.252,0.53,-0.54,2.73
1.254,0.56,-0.66,2.66
1.257,0.59,-0.76,2.59
1.259,0.62,-0.86,2.50
1.261,0.65,-0.97,2.41
1.264,0.68,-1.07,2.31
1.269,0.70,-1.18,2.19
1.270,0.71,-1.27,2.07
1.272,0.72,-1.35,1.94
1.274,0.73,-1.42,1.81
1.276,0.73,-1.48,1.67
1.280,0.74,-1.55,1.55
1.281,0.74,-1.64,1.43
1.287,0.75,-1.74,1.32
1.287,0.75,-1.84,1.22
1.289,0.76,-1.94,1.12
1.292,0.77,-2.03,1.02
1.294,0.78,-2.12,0.93
1.296,0.79,-2.21,0.84
1.299,0.79,-2.30,0.75
1.302,0.80,-2.38,0.68
1.304,0.80,-2.46,0.61
1.307,0.80,-2.53,0.54
1.309,0.80,-2.60,0.48
1.311,0.81,-2.67,0.43
1.314,0.81,-2.73,0.37
1.317,0.81,-2.79,0.32
1.319,0.80,-2.84,0.27
1.321,0.80,-2.89,0.22
1.324,0.79,-2.92,0.17
1.326,0.79,-2.96,0.13
1.329,0.78,-2.98,0.09
1.335,0.78,-3.01,0.04
1.337,0.77,-3.03,0.01
1.338,0.77,-3.06,-0.03
1.339,0.76,-3.08,-0.05
1.341,0.75,-3.09,-0.07
1.344,0.75,-3.11,-0.08
1.346,0.75,-3.12,-0.08
1.351,0.75,-3.13,-0.08
1.352,0.75,-3.14,-0.06
1.355,0.75,-3.15,-0.04
1.356,0.75,-3.17,-0.02
1.359,0.75,-3.18,0.01
1.361,0.74,-3.20,0.04
1.364,0.74,-3.22,0.08
1.373,0.73,-3.22,0.13
1.374,0.71,-3.23,0.19
1.375,0.70,-3.25,0.26
1.376,0.68,-3.29,0.31
1.377,0.67,-3.34,0.37
1.379,0.67,-3.40,0.43
1.381,0.67,-3.46,0.48
1.391,0.66,-3.54,0.54
1.391,0.65,-3.62,0.59
1.392,0.65,-3.68,0.64
1.392,0.64,-3.74,0.70
1.394,0.64,-3.81,0.74
1.396,0.63,-3.87,0.78
1.399,0.62,-3.94,0.83
1.402,0.61,-4.01,0.86
1.404,0.60,-4.08,0.89
1.407,0.59,-4.14,0.91
1.409,0.58,-4.20,0.94
1.411,0.56,-4.26,0.96
1.414,0.55,-4.32,0.96
1.418,0.54,-4.37,0.98
1.419,0.51,-4.43,0.99
1.422,0.49,-4.48,1.00
1.424,0.47,-4.52,1.01
1.426,0.44,-4.57,1.02
1.429,0.41,-4.62,1.03
1.432,0.37,-4.67,1.04
1.437,0.33,-4.71,1.06
1.441,0.30,-4.74,1.07
1.442,0.25,-4.77,1.09
1.446,0.21,-4.80,1.12
1.447,0.16,-4.82,1.14
1.448,0.11,-4.86,1.17
1.456,0.06,-4.88,1.21
1.457,0.00,-4.90,1.25
1.459,-0.05,-4.92,1.29
1.459,-0.11,-4.92,1.33
1.460,-0.18,-4.92,1.38
1.461,-0.24,-4.91,1.41
1.464,-0.31,-4.88,1.46
1.473,-0.38,-4.84,1.49
1.474,-0.45,-4.80,1.52
1.474,-0.53,-4.77,1.55
1.474,-0.61,-4.75,1.57
1.477,-0.69,-4.73,1.59
1.479,-0.77,-4.74,1.59
1.485,-0.87,-4.74,1.60
1.485,-0.98,-4.76,1.59
1.486,-1.07,-4.77,1.58
1.490,-1.17,-4.77,1.56
1.491,-1.27,-4.77,1.54
1.495,-1.36,-4.75,1.51
1.496,-1.43,-4.71,1.46
1.500,-1.50,-4.66,1.42
1.501,-1.55,-4.58,1.37
1.504,-1.60,-4.48,1.32
1.508,-1.63,-4.35,1.26
1.511,-1.65,-4.21,1.19
1.511,-1.67,-4.04,1.12
1.518,-1.67,-3.88,1.05
1.519,-1.67,-3.71,0.98
1.520,-1.67,-3.56,0.92
1.524,-1.66,-3.41,0.86
1.525,-1.65,-3.27,0.82
1.528,-1.64,-3.14,0.78
1.531,-1.62,-3.01,0.76
1.532,-1.61,-2.90,0.74
1.534,-1.59,-2.80,0.73
1.542,-1.58,-2.71,0.72
1.542,-1.56,-2.62,0.73
1.546,-1.54,-2.55,0.74
1.546,-1.52,-2.49,0.76
1.547,-1.50,-2.43,0.78
1.556,-1.48,-2.38,0.80
1.557,-1.45,-2.34,0.82
1.557,-1.43,-2.30,0.84
1.558,-1.41,-2.26,0.86
1.559,-1.38,-2.22,0.88
1.561,-1.35,-2.19,0.89
1.564,-1.32,-2.16,0.90
1.575,-1.30,-2.14,0.91
1.576,-1.27,-2.12,0.91
1.589,-1.24,-2.10,0.92
1.589,-1.21,-2.10,0.92
1.590,-1.17,-2.08,0.92
1.590,-1.14,-2.08,0.93
