time,wx,wy,wz
9.638,-0.36,0.17,0.64
9.655,-0.56,0.26,0.62
9.672,-0.74,0.27,0.54
9.688,-0.86,0.23,0.42
9.705,-0.92,0.21,0.29
9.721,-0.91,0.23,0.2
9.738,-0.88,0.26,0.13
9.755,-0.85,0.23,0.04
9.772,-0.84,0.14,-0.05
9.788,-0.83,0.06,-0.12
9.805,-0.77,0.02,-0.14
9.822,-0.58,-0.11,-0.11
9.853,-0.52,-0.14,-0.07
9.869,-0.46,-0.13,-0.01
9.886,-0.32,0.02,0.12
9.919,-0.25,0.11,0.16
9.936,-0.16,0.26,0.16
9.953,-0.11,0.36,0.13
9.986,0.04,0.53,0.04
10.003,0.11,0.57,0
10.019,0.17,0.59,-0.01
10.036,0.23,0.66,0.02
10.053,0.31,0.73,0.11
10.069,0.45,0.76,0.24
10.086,0.57,0.74,0.36
10.103,0.65,0.62,0.44
10.119,0.67,0.37,0.48
10.136,0.63,0.09,0.48
10.153,0.57,-0.14,0.45
10.169,0.5,-0.25,0.38
10.188,0.42,-0.27,0.29
10.205,0.32,-0.2,0.18
10.222,0.2,-0.11,0.05
10.238,0.05,-0.02,-0.07
10.255,-0.1,0.07,-0.16
10.272,-0.23,0.14,-0.2
10.288,-0.33,0.17,-0.19
10.305,-0.4,0.17,-0.13
10.321,-0.43,0.16,-0.04
10.338,-0.44,0.14,0.07
10.355,-0.44,0.1,0.17
10.372,-0.44,0.03,0.25
10.388,-0.42,-0.04,0.29
10.405,-0.37,-0.18,0.32
10.436,-0.38,-0.2,0.3
10.453,-0.37,-0.15,0.28
10.469,-0.35,-0.05,0.26
10.486,-0.32,0.04,0.24
10.503,-0.34,0.02,0.22
10.519,-0.4,-0.06,0.22
10.536,-0.48,-0.06,0.28
10.569,-0.47,-0.02,0.31
10.586,-0.38,-0.22,0.36
10.603,-0.31,-0.37,0.37
10.636,-0.13,-0.48,0.31
10.653,-0.09,-0.45,0.19
10.669,-0.14,-0.33,0.04
10.686,-0.26,-0.11,-0.07
10.703,-0.33,0.21,-0.13
10.72,-0.28,0.53,-0.19
10.738,-0.2,0.78,-0.23
10.755,0,0.8,-0.26
10.772,0.61,0.08,-0.65
10.788,1.18,-1.03,-1.38
10.805,1.59,-1.31,-2
10.822,1.6,-0.92,-2.26
10.838,0.84,-0.91,-2.16
10.855,0.04,-0.91,-1.09
10.872,-0.06,-1.14,-0.09
10.888,0.04,-1.41,0.24
10.905,-0.04,-1.19,0.1
10.922,-0.17,-0.88,-0.27
10.939,-0.15,-0.53,-0.68
10.955,0.16,-0.28,-1.02
10.972,0.5,-0.19,-1.27
10.988,0.52,-0.36,-1.34
11.005,0.41,-0.66,-1.08
11.022,0.41,-0.7,-0.55
11.039,0.87,0.17,0.7
11.055,1.11,0.5,1.09
11.086,1.15,0.44,1.33
11.103,0.91,0.19,1.39
11.119,0.21,0.49,1.14
11.153,0.04,0.97,0.95
11.169,0.02,1.26,0.51
11.189,-0.04,0.68,0.3
11.205,0.03,0.06,0.17
11.222,0.21,-0.25,0.12
11.238,0.34,-0.29,0.11
11.255,0.31,-0.19,0.09
11.272,0.14,-0.01,0.08
11.289,-0.05,0.18,0.05
11.305,-0.23,0.29,0.02
11.322,-0.42,0.36,-0.01
11.339,-0.63,0.45,-0.04
11.355,-0.79,0.59,-0.05
11.372,-0.87,0.84,-0.1
11.388,-0.9,1.19,-0.11
11.405,-0.8,1.27,0.01
11.422,-0.58,0.85,0.07
11.439,-0.26,0.09,0.17
11.455,0.27,-0.65,0.45
11.472,0.76,-0.87,0.59
11.489,1.19,-0.75,0.58
11.505,1.43,-0.36,0.6
11.522,1.48,0.17,0.63
11.539,1.4,0.72,0.69
11.555,1.36,1.12,0.67
11.572,1.2,1.41,0.63
11.589,0.78,1.19,0.57
11.605,0.1,0.21,0.48
11.622,-0.27,-0.42,0.39
11.639,-0.24,-0.24,0.35
11.669,-0.22,-0.13,0.28
11.686,-0.31,-0.19,0.16
11.703,-0.48,-0.4,-0.03
11.719,-0.63,-0.57,-0.22
11.736,-0.72,-0.6,-0.37
11.756,-0.82,-0.45,-0.59
11.777,-0.89,-0.41,-0.67
