time,wx,wy,wz
0.931,-3.14,-0.32,0.07
0.934,-3.17,-0.30,0.08
0.935,-3.19,-0.28,0.10
0.941,-3.22,-0.27,0.13
0.943,-3.25,-0.27,0.16
0.944,-3.27,-0.28,0.20
0.945,-3.30,-0.31,0.23
0.948,-3.32,-0.35,0.27
0.952,-3.33,-0.40,0.31
0.953,-3.33,-0.46,0.34
0.955,-3.33,-0.53,0.37
0.959,-3.33,-0.61,0.39
0.960,-3.32,-0.70,0.41
0.965,-3.31,-0.78,0.41
0.966,-3.29,-0.87,0.42
0.968,-3.27,-0.97,0.42
0.972,-3.25,-1.06,0.42
0.974,-3.24,-1.16,0.42
0.975,-3.22,-1.25,0.43
0.978,-3.21,-1.34,0.43
0.980,-3.21,-1.42,0.43
0.987,-3.20,-1.49,0.44
0.988,-3.20,-1.55,0.45
0.989,-3.20,-1.61,0.47
0.990,-3.20,-1.66,0.48
0.993,-3.22,-1.70,0.49
0.995,-3.23,-1.74,0.51
0.997,-3.24,-1.76,0.52
1.003,-3.25,-1.78,0.53
1.004,-3.26,-1.79,0.55
1.005,-3.26,-1.80,0.56
1.007,-3.25,-1.79,0.57
1.010,-3.23,-1.78,0.59
1.012,-3.21,-1.77,0.61
1.016,-3.17,-1.75,0.63
1.017,-3.13,-1.73,0.65
1.020,-3.09,-1.71,0.67
1.022,-3.04,-1.69,0.69
1.025,-2.98,-1.68,0.71
1.028,-2.93,-1.66,0.72
1.030,-2.87,-1.65,0.71
1.033,-2.82,-1.63,0.65
1.035,-2.75,-1.54,0.47
1.038,-2.71,-1.42,0.29
1.040,-2.72,-1.30,0.15
1.043,-2.77,-1.24,0.01
1.045,-2.82,-1.25,-0.11
1.047,-2.86,-1.32,-0.19
1.050,-2.89,-1.42,-0.23
1.052,-2.91,-1.52,-0.20
1.055,-2.91,-1.60,-0.10
1.057,-2.89,-1.67,0.07
1.060,-2.87,-1.71,0.27
1.064,-2.88,-1.75,0.49
1.065,-2.91,-1.74,0.72
1.068,-2.95,-1.68,0.93
1.070,-2.99,-1.59,1.09
1.073,-3.04,-1.45,1.22
1.075,-3.09,-1.24,1.30
1.078,-3.16,-1.02,1.35
1.080,-3.26,-0.85,1.40
1.083,-3.37,-0.76,1.43
1.085,-3.48,-0.71,1.45
1.088,-3.59,-0.70,1.47
1.090,-3.69,-0.71,1.48
