time,wx,wy,wz
1.355,-4.25,-2.69,-1.50
1.357,-4.30,-2.77,-1.46
1.359,-4.35,-2.84,-1.43
1.361,-4.41,-2.91,-1.39
1.365,-4.47,-2.98,-1.35
1.366,-4.53,-3.04,-1.32
1.369,-4.59,-3.09,-1.28
1.371,-4.65,-3.15,-1.24
1.373,-4.70,-3.19,-1.20
1.376,-4.74,-3.22,-1.17
1.378,-4.77,-3.25,-1.13
1.383,-4.79,-3.26,-1.09
1.384,-4.80,-3.26,-1.05
1.386,-4.79,-3.24,-1.02
1.388,-4.77,-3.21,-0.97
1.391,-4.75,-3.17,-0.93
1.393,-4.71,-3.13,-0.88
1.400,-4.66,-3.09,-0.83
1.402,-4.61,-3.03,-0.77
1.402,-4.54,-2.97,-0.72
1.403,-4.46,-2.90,-0.66
1.406,-4.38,-2.83,-0.60
1.408,-4.30,-2.75,-0.54
1.411,-4.23,-2.67,-0.48
1.415,-4.15,-2.59,-0.43
1.416,-4.09,-2.52,-0.37
1.418,-4.04,-2.45,-0.32
1.421,-3.99,-2.39,-0.28
1.423,-3.95,-2.34,-0.24
1.426,-3.92,-2.30,-0.20
1.428,-3.90,-2.26,-0.15
1.431,-3.87,-2.23,-0.11
1.433,-3.86,-2.21,-0.05
1.436,-3.84,-2.20,-0.00
1.438,-3.82,-2.19,0.06
1.441,-3.80,-2.18,0.13
1.443,-3.78,-2.17,0.20
1.447,-3.74,-2.16,0.28
1.449,-3.70,-2.16,0.37
1.451,-3.64,-2.16,0.46
1.454,-3.58,-2.16,0.56
1.456,-3.50,-2.17,0.67
1.458,-3.41,-2.17,0.78
1.461,-3.31,-2.18,0.90
1.464,-3.19,-2.20,1.02
1.466,-3.07,-2.21,1.14
1.468,-2.94,-2.24,1.26
1.471,-2.80,-2.27,1.37
1.473,-2.66,-2.31,1.48
1.476,-2.52,-2.36,1.57
1.478,-2.37,-2.42,1.66
1.484,-2.23,-2.49,1.73
1.485,-2.09,-2.57,1.80
1.486,-1.96,-2.66,1.85
1.488,-1.83,-2.77,1.90
1.491,-1.70,-2.88,1.95
1.493,-1.58,-3.01,1.98
1.495,-1.46,-3.14,2.01
1.500,-1.34,-3.26,2.02
1.501,-1.22,-3.37,2.02
1.503,-1.09,-3.47,2.02
1.506,-0.97,-3.55,2.01
1.508,-0.84,-3.60,1.99
1.511,-0.71,-3.64,1.96
1.513,-0.58,-3.66,1.93
1.515,-0.46,-3.67,1.90
1.520,-0.33,-3.66,1.87
1.521,-0.20,-3.63,1.83
1.523,-0.08,-3.59,1.80
1.526,0.03,-3.54,1.76
1.529,0.14,-3.47,1.73
1.531,0.23,-3.38,1.69
1.533,0.31,-3.29,1.65
1.536,0.38,-3.18,1.60
1.538,0.43,-3.06,1.55
1.541,0.46,-2.93,1.49
