time,ax,ay,az,aT
2.2480,-1.5000,-17.6330,-13.0000,21.958
2.2580,-4.8790,-17.0090,-14.2490,22.719
2.2680,-6.6530,-16.4490,-14.2280,22.744
2.2780,-6.0940,-16.2580,-12.2430,21.245
2.2900,-3.5810,-15.6570,-8.8560,18.341
2.2990,0.3410,-13.5540,-3.9360,14.118
2.3090,6.2390,-10.7220,0.8290,12.433
2.3190,13.7010,-7.1950,2.9860,15.761
2.3300,20.3600,-3.1640,2.0630,20.707
2.3390,24.6540,0.7360,0.2250,24.666
2.3510,26.7340,4.7210,0.2950,27.149
2.3600,26.6340,8.7200,2.0770,28.102
2.3690,27.0020,13.4230,5.8840,30.723
2.3780,30.9430,17.8410,10.2750,37.166
2.3900,37.6280,20.8950,14.9750,45.571
2.3990,42.0990,22.4210,18.7420,51.247
2.4090,37.4870,22.2830,19.7750,47.884
2.4190,21.7920,21.7240,20.6620,37.064
2.4280,6.8180,22.7870,21.5120,32.070
2.4390,3.3190,23.1430,20.4250,31.045
2.4490,6.7900,22.4050,18.7980,30.024
2.4590,6.9520,21.7300,17.3260,28.648
2.4680,5.4080,19.9120,14.8190,25.403
2.4810,3.8500,18.6620,12.0070,22.522
2.4910,2.0840,16.3180,8.5580,18.543
2.4990,-1.5880,13.8570,6.4260,15.357
2.5080,-5.8940,11.2520,5.6660,13.909
2.5180,-8.9540,8.6760,5.2880,13.543
2.5280,-10.3980,6.4490,5.1810,13.287
2.5400,-9.7680,4.9380,5.1250,12.086
2.5510,-6.3780,3.4320,3.8050,8.181
2.5600,-0.9870,1.4510,3.0760,3.541
2.5710,3.2590,-0.1780,1.5340,3.606
2.5810,6.5300,-1.9240,-0.2820,6.813
2.5910,9.6270,-4.2550,-1.3870,10.616
2.6000,12.0390,-6.7940,-1.5600,13.911
2.6100,13.7270,-9.3080,-0.7900,16.604
2.6180,14.8620,-11.6360,0.3140,18.878
2.6310,15.5410,-13.6010,0.9480,20.674
2.6380,16.4200,-15.5070,1.0110,22.608
2.6510,16.8900,-16.9880,0.4470,23.960
2.6610,16.2790,-17.8720,0.7350,24.186
2.6690,14.2230,-17.6480,1.6440,22.726
2.6800,10.6470,-16.9390,2.6810,20.186
